"Project Identifier","Group","Identifier","Title","PI","Requester","Lead Analyst","Analyst","Status","Assistance Type","Expertise","Submission Date","COVID-19 Related"
"CCBR-969","CCBR","969","lnc-FANCI-2 KO (CS023898)","Zhi ming Zheng","Haibin Liu","Thomas Meyer","--","Submitted","Data Analysis","Bulk RNA-seq","Mar 20, 2024","No"
"CCBR-1090","CCBR","1090","RNA sequecing from NOVAGENE","David Roberts","Sukhbir Kaur","Thomas Meyer","--","Submitted","Data Analysis","Bulk RNA-seq","Mar 18, 2024","No"
"CCBR-1335","CCBR","1335","WGS analysis of ICGC CCA cohort","Changqing Xie","Parthav Jailwala","Richard Finney","--","Submitted","Data Analysis","Whole Genome Sequencing","Mar 12, 2024","No"
"CCBR-1334","CCBR","1334","Characterization of Mesothelioma","Andrew Blakely","Shruthi Perati","--","--","Submitted","Data Analysis","Spatial transcriptomics","Mar 06, 2024","No"
"CCBR-1333","CCBR","1333","Exploring the role of non-coding mutations in bladder cancer","Abdul Banday","Abdul Banday","Darryl Nousome","--","In Progress","Data Analysis","Whole Genome Sequencing","Feb 29, 2024","No"
"CCBR-1332","CCBR","1332","Bladder and Rare GU Tumor DNA/RNA Sequencing","Andrea Apolo","Andre Kydd","Darryl Nousome","--","In Progress","Data Analysis;Development","Bulk RNA-seq;Whole Genome Sequencing","Feb 27, 2024","No"
"CCBR-1331","CCBR","1331","Characterization of Mesothelioma","Andrew Blakely","Shruthi Perati","Darryl Nousome","--","In Progress","Other","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq);Whole Exome Sequencing","Feb 20, 2024","No"
"CCBR-1330","CCBR","1330","Mislocalization of CENP-A upon depletion of EP400","Munira Basrai","Munira Basrai","Samantha Chill","Vishal Koparde","Primary Analysis Completed","Data Analysis","ChIP-Seq","Feb 20, 2024","No"
"CCBR-1329","CCBR","1329","Papillomatosis single cell RNA-seq","Clint Allen","Clint Allen","Nathan Wong","--","Submitted","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Feb 14, 2024","No"
"CCBR-1328","CCBR","1328","Chip-Seq analyses","Christine Alewine","Xianyu Zhang","--","--","Re Assigned","Data Analysis","ChIP-Seq","Feb 13, 2024","No"
"CCBR-1327","CCBR","1327","Aging and Lung Cancer","Ji Luo","Christophe Cataisson","Thomas Meyer","--","In Progress","Data Analysis","Bulk RNA-seq","Feb 12, 2024","No"
"CCBR-1326","CCBR","1326","Classification of SCLC into molecular subtypes","Anish Thomas","Rajesh Kumar","Vishal Koparde","Kelly Sovacool","In Progress","Data Analysis","ATAC-Seq;Bulk RNA-seq","Feb 09, 2024","No"
